   116.567    -30.563       0.03 2005.48966845387 1.700000
   116.576    -31.241       0.03 2004.08292027673 1.800000
   116.586    -30.654       0.03 2005.96016301382 3.000000
   116.600    -31.680       0.03 2000.25786063579 3.000000
   116.603    -30.802       0.03 2006.22117249886 0.000000
   116.606    -31.093       0.03 2005.35646869058 10.000000
   116.616    -30.822       0.03 2001.84674071697 19.000000
   116.630    -31.183       0.03 1999.1009922285 11.000000
   116.640    -31.044       0.03 2001.73518239267 0.000000
   116.642    -30.906       0.03 2000.99037620969 0.000000
   116.679    -31.189       0.03 2006.98950644298 0.000000
   116.700    -31.010       0.03 1999.62848775335 6.000000
   116.710    -33.425       0.03 1998.85385772207 5.000000
   116.713    -32.022       0.03 2001.20305195737 5.000000
   116.714    -31.961       0.03 2005.73781692524 2.000000
   116.717    -31.896       0.03 2001.90987414917 0.000000
   116.717    -31.963       0.03 2004.3124387192 0.000000
   116.719    -32.080       0.03 2001.00284470302 13.000000
   116.724    -32.000       0.03 2000.81194540459 0.000000
   116.724    -32.003       0.03 2001.10185685936 0.000000
   116.733    -32.322       0.03 2001.3774465929 12.700000
   116.737    -30.894       0.03 2001.15064677447 14.900000
   116.769    -30.942       0.03 2002.62813172104 0.000000
   116.778    -30.863       0.03 2000.88391662864 16.000000
   116.797    -31.856       0.03 2001.62816530012 0.000000
   116.799    -30.268       0.03 2001.88865422275 0.000000
   116.800    -29.800       0.03 2001.10490254012 0.000000
   116.819    -31.895       0.03 2001.6363504853 0.000000
   116.830    -31.533       0.03 2002.59014471633 0.000000
   116.838    -30.256       0.03 2002.14942563123 0.000000
   116.850    -32.062       0.03 2002.26909499534 0.000000
   116.876    -31.576       0.03 2003.71785108658 0.400000
   116.893    -32.587       0.03 2003.21683435052 3.000000
   116.896    -30.945       0.03 2003.76912587459 4.200000
   116.906    -30.489       0.03 2003.71996916353 0.000000
   116.912    -30.435       0.03 2000.95606236929 0.000000
   116.920    -30.460       0.03 2001.91132640315 7.000000
   116.947    -30.247       0.03 2007.22903809225 10.000000
   116.952    -32.800       0.03 2001.91321182932 2.000000
   116.953    -30.993       0.03 2004.86463182799 5.000000
   116.954    -32.858       0.03 1999.22610936906 5.000000
   116.956    -30.611       0.03 2006.24594060622 12.000000
   116.956    -30.618       0.03 2005.75042362062 11.800000
   116.961    -30.964       0.03 2005.14042565262 5.000000
   116.965    -30.601       0.03 2005.2428437904 5.000000
   116.966    -32.844       0.03 1999.07779570452 5.000000
   116.972    -30.449       0.03 2001.15574117091 0.000000
   116.972    -30.588       0.03 2005.22046184596 5.000000
   116.976    -30.958       0.03 2004.7347526309 5.000000
   116.979    -30.436       0.03 2001.15593677276 2.000000
   116.980    -31.490       0.03 2000.17156894773 1.000000
   116.985    -30.586       0.03 2003.38610727051 3.600000
   116.987    -30.576       0.03 2003.96633942695 8.200000
   116.987    -30.577       0.03 2005.86505429358 5.000000
   116.991    -30.495       0.03 2002.34790879297 2.000000
   116.991    -30.578       0.03 2003.57410570908 0.000000
   116.991    -30.920       0.03 2001.11026102745 0.000000
   116.994    -30.487       0.03 2005.51975175156 2.000000
   116.996    -30.568       0.03 2005.3545937904 0.000000
   116.997    -30.571       0.03 2004.79425103382 0.000000
   116.997    -30.580       0.03 2005.11394507425 2.000000
   117.000    -30.571       0.03 2005.66240398985 2.000000
   117.001    -30.568       0.03 2003.99562347422 1.000000
   117.002    -30.568       0.03 2003.33542440014 1.700000
   117.004    -30.561       0.03 2005.10818840549 0.000000
   117.004    -30.576       0.03 2006.18849151076 0.000000
   117.004    -30.580       0.03 2003.95615356681 0.000000
   117.005    -30.567       0.03 2005.17312893804 0.000000
   117.005    -30.572       0.03 2005.26751184025 0.000000
   117.007    -30.568       0.03 2005.11017335919 0.400000
   117.009    -31.655       0.03 2004.58742332829 0.000000
   117.010    -31.660       0.03 2004.45994300422 4.700000
   117.011    -30.473       0.03 2006.46666948057 11.400000
   117.011    -30.528       0.03 2001.89497029479 0.300000
   117.011    -31.656       0.03 2005.1012410901 3.000000
   117.012    -30.213       0.03 2007.01225995798 7.100000
   117.012    -31.654       0.03 2004.44968143015 5.200000
